회사명,stock_code,2022년,2023년,2024년,E_value_등급,S_value_등급,G_value_등급,재무_value_등급,성장성_value_등급
고려제강,2240,디,씨,비플러스,비플러스,비,에이,비플러스,비
벽산,7210,디,씨,비플러스,비플러스,비플러스,비,씨,에이
명신산업,9900,디,디,비플러스,비플러스,디,디,비플러스,에이
지엠비코리아,13870,디,디,비플러스,비,비,비플러스,씨,에이
세아특수강,19440,디,에이,에이,비플러스,씨,씨,비,에이
롯데관광개발,32500,디,디,비플러스,비플러스,에이,비,비,디
남양유업,3920,씨,비,비플러스,비,에이,비,비,비플러스
삼천리,4690,씨,씨,비플러스,비,에이,비플러스,에이,씨
성신양회,4980,씨,비,비플러스,비플러스,비,비,비플러스,에이
DN오토모티브,7340,씨,씨,비플러스,비플러스,에이,디,에이,비
경동나비엔,9450,씨,비,비플러스,비플러스,에이,에이,비플러스,비플러스
SNT홀딩스,36530,씨,비,비플러스,비플러스,디,디,비플러스,비
하이브,352820,씨,씨,비플러스,비플러스,비플러스,에이,에이,씨
JW중외제약,1060,씨,비플러스,비플러스,비,에이,비플러스,비,비플러스
코오롱,2020,씨,비플러스,에이,비플러스,씨,비플러스,에이,비플러스
부광약품,3000,씨,비플러스,비플러스,비,비플러스,비,씨,디
세방,4360,씨,비플러스,비플러스,비,비,에이,비,씨
농심,4370,씨,비플러스,에이,비플러스,에이,에이,비플러스,비플러스
깨끗한나라,4540,씨,비플러스,비플러스,비플러스,비플러스,디,씨,씨
DRB동일,4840,씨,비플러스,비플러스,비플러스,씨,비,비,비플러스
한국공항,5430,씨,비플러스,비플러스,비플러스,비플러스,씨,씨,에이
동부건설,5960,씨,비플러스,비플러스,비플러스,비플러스,비,비플러스,디
동원산업,6040,씨,비플러스,에이,비,에이,에이,에이,에이
대한유화,6650,씨,비플러스,비플러스,비,비,에이,비플러스,비플러스
오뚜기,7310,씨,비플러스,에이,비플러스,에이,에이,에이,비플러스
영원무역홀딩스,9970,씨,비플러스,에이,비플러스,씨,비플러스,에이,씨
화신,10690,씨,비플러스,비플러스,비,비플러스,비플러스,비플러스,에이
HDC,12630,씨,비플러스,비플러스,비플러스,디,비플러스,에이,씨
웅진,16880,씨,비플러스,에이,비,비플러스,비,비,비
다우기술,23590,씨,비플러스,비플러스,비플러스,에이,비플러스,에이,씨
SBS,34120,씨,비플러스,비플러스,비,비플러스,비플러스,비플러스,디
한국항공우주,47810,씨,비플러스,에이,비,에이,에이,에이,씨
세아홀딩스,58650,씨,비플러스,비플러스,비,씨,비,에이,비플러스
농심홀딩스,72710,씨,비플러스,비플러스,비플러스,디,비,비플러스,씨
HDC현대EP,89470,씨,비플러스,에이,비플러스,비,디,비,에이
한세실업,105630,씨,비플러스,에이,비플러스,비플러스,비플러스,비플러스,비플러스
선진,136490,씨,비플러스,비플러스,비,비,비플러스,비플러스,에이
아세아시멘트,183190,씨,비플러스,비플러스,비,씨,씨,비플러스,씨
JW생명과학,234080,씨,비플러스,비플러스,비플러스,씨,비,씨,씨
HDC현대산업개발,294870,씨,비플러스,비플러스,비,에이,에이,에이,디
세아베스틸지주,1430,씨,에이,에이,비플러스,씨,에이,에이,디
한일홀딩스,3300,씨,에이,에이,비플러스,디,씨,비플러스,씨
LS,6260,씨,에이,에이,비플러스,씨,에이,에이,비플러스
씨에스윈드,112610,씨,에이,에이,비플러스,씨,비,에이,씨
한일시멘트,300720,씨,에이,에이,비,비,비,비플러스,비플러스
하이트진로,80,비,비,비플러스,비,에이,비플러스,에이,비
하이트진로홀딩스,140,비,비플러스,비플러스,비플러스,디,비,비플러스,비플러스
한국앤컴퍼니,240,비,비플러스,에이,비플러스,에이,에이,에이,디
가온전선,500,비,비플러스,에이,비플러스,비플러스,비플러스,비,에이
영풍,670,비,비플러스,비플러스,비,비,비플러스,에이,씨
LS네트웍스,680,비,비플러스,에이,비,비,비,비플러스,씨
DB하이텍,990,비,비플러스,에이,비,에이,에이,비플러스,디
세아제강지주,3030,비,비플러스,비플러스,비,디,디,에이,비
풍산홀딩스,5810,비,비플러스,비플러스,비,씨,비플러스,비,디
서흥,8490,비,비플러스,에이,비플러스,비플러스,씨,비,디
무림페이퍼,9200,비,비플러스,에이,비,씨,비,비플러스,비플러스
한화솔루션,9830,비,비플러스,에이,비,에이,에이,에이,씨
현대코퍼레이션,11760,비,비플러스,비플러스,비플러스,비,비플러스,에이,에이
한솔케미칼,14680,비,비플러스,에이,비플러스,비,비플러스,비플러스,씨
유니드,14830,비,비플러스,에이,비플러스,비플러스,비,비플러스,씨
대교,19680,비,비플러스,비플러스,비,에이,비플러스,씨,씨
한솔홈데코,25750,비,비플러스,비플러스,비,비,씨,씨,비
두산에너빌리티,34020,비,비플러스,에이,비플러스,에이,에이,에이,비
동원F&B,49770,비,비,비플러스,비,에이,씨,비플러스,에이
LF,93050,비,비플러스,비플러스,비플러스,에이,에이,비플러스,비
